Weekday,Day_of_week,Ride_Date,started_on,completed_on,start_lat,start_long,end_lat,end_long
0,7,1/15/2017,2017-01-15 14:42:29-06:00,2017-01-15 14:58:36-06:00,30.298,-97.707,30.276,-97.765
0,7,1/15/2017,2017-01-15 14:42:38-06:00,2017-01-15 14:56:07-06:00,30.283,-97.746,30.372,-97.726
0,7,1/15/2017,2017-01-15 14:42:45-06:00,2017-01-15 14:59:01-06:00,30.258,-97.792,30.3,-97.789
0,7,1/15/2017,2017-01-15 14:42:47-06:00,2017-01-15 14:50:12-06:00,30.262,-97.742,30.271,-97.754
0,7,1/15/2017,2017-01-15 14:43:15-06:00,2017-01-15 14:53:14-06:00,30.264,-97.742,30.274,-97.764
0,7,1/15/2017,2017-01-15 14:43:23-06:00,2017-01-15 14:54:32-06:00,30.224,-97.745,30.265,-97.742
0,7,1/15/2017,2017-01-15 14:43:27-06:00,2017-01-15 14:48:49-06:00,30.265,-97.741,30.262,-97.722
0,7,1/15/2017,2017-01-15 14:43:30-06:00,2017-01-15 15:05:46-06:00,30.238,-97.807,30.401,-97.723
0,7,1/15/2017,2017-01-15 14:43:38-06:00,2017-01-15 14:52:18-06:00,30.269,-97.752,30.32,-97.755
0,7,1/15/2017,2017-01-15 14:43:38-06:00,2017-01-15 14:48:32-06:00,30.262,-97.776,30.241,-97.785
0,7,1/15/2017,2017-01-15 14:44:05-06:00,2017-01-15 14:49:35-06:00,30.227,-97.783,30.236,-97.794
0,7,1/15/2017,2017-01-15 14:44:37-06:00,2017-01-15 14:55:03-06:00,30.295,-97.784,30.264,-97.744
0,7,1/15/2017,2017-01-15 14:44:50-06:00,2017-01-15 14:55:56-06:00,30.236,-97.712,30.266,-97.744
0,7,1/15/2017,2017-01-15 14:44:52-06:00,2017-01-15 15:22:11-06:00,30.43,-97.727,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:45:04-06:00,2017-01-15 14:54:38-06:00,30.273,-97.709,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:45:07-06:00,2017-01-15 14:53:33-06:00,30.267,-97.786,30.27,-97.75
0,7,1/15/2017,2017-01-15 14:45:07-06:00,2017-01-15 14:52:28-06:00,30.254,-97.748,30.252,-97.736
0,7,1/15/2017,2017-01-15 14:45:08-06:00,2017-01-15 14:55:04-06:00,30.238,-97.765,30.258,-97.747
0,7,1/15/2017,2017-01-15 14:45:12-06:00,2017-01-15 14:56:06-06:00,30.262,-97.708,30.203,-97.667
0,7,1/15/2017,2017-01-15 14:45:22-06:00,2017-01-15 14:53:24-06:00,30.38,-97.73,30.359,-97.735
0,7,1/15/2017,2017-01-15 14:45:45-06:00,2017-01-15 14:51:15-06:00,30.268,-97.742,30.265,-97.733
0,7,1/15/2017,2017-01-15 14:45:50-06:00,2017-01-15 14:51:30-06:00,30.261,-97.738,30.27,-97.748
0,7,1/15/2017,2017-01-15 14:46:04-06:00,2017-01-15 15:01:25-06:00,30.471,-97.785,30.435,-97.835
0,7,1/15/2017,2017-01-15 14:46:09-06:00,2017-01-15 15:04:20-06:00,30.269,-97.754,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:46:09-06:00,2017-01-15 15:02:47-06:00,30.38,-97.698,30.399,-97.652
0,7,1/15/2017,2017-01-15 14:46:18-06:00,2017-01-15 15:11:44-06:00,30.375,-97.746,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:46:28-06:00,2017-01-15 14:55:22-06:00,30.322,-97.711,30.302,-97.734
0,7,1/15/2017,2017-01-15 14:46:39-06:00,2017-01-15 14:58:18-06:00,30.29,-97.746,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:46:39-06:00,2017-01-15 14:53:15-06:00,30.25,-97.744,30.267,-97.746
0,7,1/15/2017,2017-01-15 14:46:48-06:00,2017-01-15 14:53:26-06:00,30.314,-97.733,30.329,-97.731
0,7,1/15/2017,2017-01-15 14:46:53-06:00,2017-01-15 15:00:52-06:00,30.355,-97.727,30.293,-97.743
0,7,1/15/2017,2017-01-15 14:46:59-06:00,2017-01-15 14:57:14-06:00,30.298,-97.719,30.289,-97.749
0,7,1/15/2017,2017-01-15 14:47:05-06:00,2017-01-15 15:03:52-06:00,30.447,-97.787,30.435,-97.697
0,7,1/15/2017,2017-01-15 14:47:07-06:00,2017-01-15 14:58:16-06:00,30.253,-97.711,30.27,-97.748
0,7,1/15/2017,2017-01-15 14:47:20-06:00,2017-01-15 14:56:20-06:00,30.255,-97.799,30.267,-97.744
0,7,1/15/2017,2017-01-15 14:47:28-06:00,2017-01-15 14:55:14-06:00,30.262,-97.725,30.265,-97.741
0,7,1/15/2017,2017-01-15 14:47:38-06:00,2017-01-15 15:01:46-06:00,30.31,-97.724,30.27,-97.748
